filename,dimensions,level_count,level_0_dimensions,level_0_downsample,level_1_dimensions,level_1_downsample,level_2_dimensions,level_2_downsample,level_3_dimensions,level_3_downsample
TCGA-97-8179-01Z-00-DX1.5501338a-dd89-4c41-8267-5baaaea71643.svs,"(173263, 67948)",4,"(173263, 67948)",1.0,"(43315, 16987)",4.000034630035785,"(10828, 4246)",16.002105743365927,"(2707, 1061)",64.02350575026801
TCGA-78-7148-01Z-00-DX1.aac94f79-77f2-45e6-b0c3-0b103fecbb22.svs,"(117028, 84539)",4,"(117028, 84539)",1.0,"(29257, 21134)",4.000070975679001,"(7314, 5283)",16.00131452332827,"(3657, 2641)",32.005658596476735
TCGA-55-8302-01Z-00-DX1.E0C2B152-BBA9-4AA7-9E6B-BD57B68163CB.svs,"(55776, 31516)",3,"(55776, 31516)",1.0,"(13944, 7879)",4.0,"(3486, 1969)",16.00304723209751,,
TCGA-64-1681-01Z-00-DX1.fb0244f6-51a8-4da2-b45c-38d8e02edab7.svs,"(52758, 38117)",3,"(52758, 38117)",1.0,"(13189, 9529)",4.00012829216281,"(3297, 2382)",16.00195945631056,,
TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300.svs,"(57554, 48809)",3,"(57554, 48809)",1.0,"(14388, 12202)",4.000110479252115,"(3597, 3050)",16.001753419288384,,
TCGA-44-7672-01Z-00-DX1.71f4a0c6-a9cc-481c-ace8-c8c314952aa1.svs,"(87291, 44236)",4,"(87291, 44236)",1.0,"(21822, 11059)",4.000068737970855,"(5455, 2764)",16.0031790163169,"(2727, 1382)",32.00929202905819
TCGA-97-8177-01Z-00-DX1.4c2ddf48-40d3-4fa0-8b5f-0485e8270ac7.svs,"(118740, 92802)",4,"(118740, 92802)",1.0,"(29685, 23200)",4.0000431034482755,"(7421, 5800)",16.00044191925059,"(3710, 2900)",32.00304024537596
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6.svs,"(45084, 46674)",3,"(45084, 46674)",1.0,"(11271, 11668)",4.000085704490916,"(2817, 2917)",16.00247274341627,,
TCGA-49-4506-01Z-00-DX3.a05a3969-bbef-48d8-86de-f51c8870afd6.svs,"(96883, 83106)",4,"(96883, 83106)",1.0,"(24220, 20776)",4.000110064747897,"(6055, 5194)",16.00044025899159,"(3027, 2597)",32.00352348056301
TCGA-83-5908-01Z-00-DX1.381c8f82-61a0-4e9d-982d-1ad0af7bead9.svs,"(70984, 70475)",4,"(70984, 70475)",1.0,"(17746, 17618)",4.000085140197525,"(4436, 4404)",16.00215057792367,"(2218, 2202)",32.00430115584734
TCGA-L9-A50W-01Z-00-DX1.21FAAB58-58EF-4A6A-8F0A-16D9AB9B1056.svs,"(107576, 77440)",4,"(107576, 77440)",1.0,"(26894, 19360)",4.0,"(6723, 4840)",16.000594972482524,"(3361, 2420)",32.00357036596251
TCGA-55-7816-01Z-00-DX1.A58C6196-E1A0-48B3-9B77-2EDCD7A43CBA.svs,"(153479, 79268)",4,"(153479, 79268)",1.0,"(38369, 19817)",4.000039094060309,"(9592, 4954)",16.00076860157654,"(2398, 1238)",64.01599912959237
TCGA-55-6971-01Z-00-DX1.6c790768-8252-466a-95e1-97d2086a8132.svs,"(42206, 27382)",3,"(42206, 27382)",1.0,"(10551, 6845)",4.000240869784169,"(2637, 1711)",16.004407892272603,,
TCGA-49-6742-01Z-00-DX3.789aa445-e63f-4e6e-900a-0f47f44af6b7.svs,"(157316, 84874)",4,"(157316, 84874)",1.0,"(39329, 21218)",4.0000471297954565,"(9832, 5304)",16.001146102178744,"(2458, 1326)",64.00458440871498
TCGA-78-7633-01Z-00-DX1.f0cd4825-eb92-4098-954a-fbb1e4851660.svs,"(117028, 86825)",4,"(117028, 86825)",1.0,"(29257, 21706)",4.000023035105501,"(7314, 5426)",16.001102788395357,"(3657, 2713)",32.002205576790715
TCGA-78-7149-01Z-00-DX1.1b83dbcb-0c9f-4e50-bb98-bf9a157052cf.svs,"(105517, 77599)",4,"(105517, 77599)",1.0,"(26379, 19399)",4.00009627804474,"(6594, 4849)",16.00253245527831,"(3297, 2424)",32.00836587867158
TCGA-49-4488-01Z-00-DX10.930e7dc2-6073-4bf2-9b70-f17c0b26bdee.svs,"(117987, 84550)",4,"(117987, 84550)",1.0,"(29496, 21137)",4.0000981647566904,"(7374, 5284)",16.000771169115787,"(3687, 2642)",32.00154233823157
TCGA-86-A4JF-01Z-00-DX1.22828B15-D68E-4300-A3A8-FBC11B319BC5.svs,"(105672, 95908)",4,"(105672, 95908)",1.0,"(26418, 23977)",4.0,"(6604, 5994)",16.00093936051941,"(3302, 2997)",32.00187872103882
TCGA-MP-A4SW-01Z-00-DX1.A6651B25-A35A-4BDE-9EBF-D264A02003C8.svs,"(73704, 52626)",4,"(73704, 52626)",1.0,"(18426, 13156)",4.000076010945576,"(4606, 3289)",16.00117247626168,"(2303, 1644)",32.007211317513494
TCGA-55-7725-01Z-00-DX1.4d678777-63b1-4f4a-932a-7fccabf504c7.svs,"(29736, 28294)",3,"(29736, 28294)",1.0,"(7434, 7073)",4.000141382723031,"(1858, 1768)",16.003849685108786,,
TCGA-49-4510-01Z-00-DX1.0b7c713f-6f72-42c3-967d-7e19a280e761.svs,"(123742, 62028)",4,"(123742, 62028)",1.0,"(30935, 15507)",4.000032325844513,"(7733, 3876)",16.00245319904763,"(3866, 1938)",32.00697595453897
TCGA-62-A46R-01Z-00-DX1.AD823FBA-A63F-4D36-8B84-2C995DE5FC47.svs,"(88452, 65633)",4,"(88452, 65633)",1.0,"(22113, 16408)",4.000030472940029,"(5528, 4102)",16.00048368626084,"(2764, 2051)",32.00096737252168
TCGA-55-7727-01Z-00-DX1.0c7a4953-16dc-41e0-845b-b89167ec17d7.svs,"(134294, 90266)",4,"(134294, 90266)",1.0,"(33573, 22566)",4.000074100295187,"(8393, 5641)",16.00124380838972,"(2098, 1410)",64.01446294681189
TCGA-NJ-A7XG-01Z-00-DX1.4A876254-653C-410B-A36C-55FC41C1DD93.svs,"(81672, 68241)",4,"(81672, 68241)",1.0,"(20418, 17060)",4.000029308323564,"(5104, 4265)",16.000900932353815,"(2552, 2132)",32.00555426491087
TCGA-38-4630-01Z-00-DX1.d08d0193-c5ed-4db8-b236-1a4c3c3177b8.svs,"(116068, 72362)",4,"(116068, 72362)",1.0,"(29017, 18090)",4.000055279159756,"(7254, 4522)",16.0013814153932,"(3627, 2261)",32.0027628307864
TCGA-78-7161-01Z-00-DX1.646cf15a-5961-4728-b9fe-fe3fff11831f.svs,"(94965, 77262)",4,"(94965, 77262)",1.0,"(23741, 19315)",4.000072833845681,"(5935, 4828)",16.00187110571651,"(2967, 2414)",32.00643867966019
TCGA-86-8673-01Z-00-DX1.21191041-c10e-4166-ad00-1243656feaa7.svs,"(93046, 71922)",4,"(93046, 71922)",1.0,"(23261, 17980)",4.000098607765752,"(5815, 4495)",16.000738376547172,"(2907, 2247)",32.00778931018218
TCGA-67-3770-01Z-00-DX1.4C14BE72-905C-4AAE-B07A-6437D98A23FA.svs,"(129479, 33832)",4,"(129479, 33832)",1.0,"(32369, 8458)",4.000046340634558,"(8092, 2114)",16.00232467353907,"(4046, 1057)",32.00464934707814
TCGA-69-7979-01Z-00-DX1.c9bc265d-4889-4333-9852-b8b535887f1e.svs,"(69065, 71466)",4,"(69065, 71466)",1.0,"(17266, 17866)",4.000084930884822,"(4316, 4466)",16.002162202151816,"(2158, 2233)",32.00432440430363
